"","Date","Crimes","DATETIME"
"1","2011-01",70,2011-01-01
"2","2011-02",78,2011-02-01
"3","2011-03",55,2011-03-01
"4","2011-04",51,2011-04-01
"5","2011-05",84,2011-05-01
"6","2011-06",63,2011-06-01
"7","2011-07",74,2011-07-01
"8","2011-08",46,2011-08-01
"9","2011-09",53,2011-09-01
"10","2011-10",66,2011-10-01
"11","2011-11",62,2011-11-01
"12","2011-12",69,2011-12-01
"13","2012-01",66,2012-01-01
"14","2012-02",59,2012-02-01
"15","2012-03",47,2012-03-01
"16","2012-04",61,2012-04-01
"17","2012-05",72,2012-05-01
"18","2012-06",59,2012-06-01
"19","2012-07",58,2012-07-01
"20","2012-08",48,2012-08-01
"21","2012-09",40,2012-09-01
"22","2012-10",66,2012-10-01
"23","2012-11",65,2012-11-01
"24","2012-12",64,2012-12-01
"25","2013-01",53,2013-01-01
"26","2013-02",42,2013-02-01
"27","2013-03",47,2013-03-01
"28","2013-04",37,2013-04-01
"29","2013-05",45,2013-05-01
"30","2013-06",50,2013-06-01
"31","2013-07",46,2013-07-01
"32","2013-08",52,2013-08-01
"33","2013-09",58,2013-09-01
"34","2013-10",54,2013-10-01
"35","2013-11",42,2013-11-01
"36","2013-12",39,2013-12-01
"37","2014-01",43,2014-01-01
"38","2014-02",24,2014-02-01
"39","2014-03",19,2014-03-01
"40","2014-04",28,2014-04-01
"41","2014-05",33,2014-05-01
"42","2014-06",31,2014-06-01
"43","2014-07",24,2014-07-01
"44","2014-08",22,2014-08-01
"45","2014-09",28,2014-09-01
"46","2014-10",35,2014-10-01
"47","2014-11",45,2014-11-01
"48","2014-12",47,2014-12-01
"49","2015-01",46,2015-01-01
"50","2015-02",26,2015-02-01
"51","2015-03",30,2015-03-01
"52","2015-04",30,2015-04-01
"53","2015-05",28,2015-05-01
"54","2015-06",19,2015-06-01
"55","2015-07",27,2015-07-01
"56","2015-08",45,2015-08-01
"57","2015-09",26,2015-09-01
"58","2015-10",31,2015-10-01
"59","2015-11",29,2015-11-01
"60","2015-12",23,2015-12-01
